Source_Titles,records,percent_of_total
POLSKIE ARCHIWUM MEDYCYNY WEWNETRZNEJ POLISH ARCHIVES OF INTERNAL MEDICINE,3,0.01
POPULATION AND DEVELOPMENT REVIEW,3,0.01
PRACTICAL DIABETES,3,0.01
PRIMARY CARE DIABETES,3,0.01
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES,3,0.01
PROGRESS IN COMMUNITY HEALTH PARTNERSHIPS RESEARCH EDUCATION AND ACTION,3,0.01
PROGRESS IN TRANSPLANTATION,3,0.01
PROSTATE CANCER AND PROSTATIC DISEASES,3,0.01
PSYCHIATRIA DANUBINA,3,0.01
PSYCHOLOGICAL REPORTS,3,0.01
PSYCHOLOGICAL REVIEW,3,0.01
PSYCHOLOGY OF SPORT AND EXERCISE,3,0.01
QUALITATIVE HEALTH RESEARCH,3,0.01
QUANTITATIVE IMAGING IN MEDICINE AND SURGERY,3,0.01
RADIOLOGIA MEDICA,3,0.01
REJUVENATION RESEARCH,3,0.01
REPRODUCTIVE BIOLOGY AND ENDOCRINOLOGY,3,0.01
REPRODUCTIVE HEALTH,3,0.01
RESEARCH IN DEVELOPMENTAL DISABILITIES,3,0.01
RESEARCH IN THE SOCIOLOGY OF HEALTH CARE,3,0.01
RESEARCH JOURNAL OF PHARMACEUTICAL BIOLOGICAL AND CHEMICAL SCIENCES,3,0.01
REVISTA CHILENA DE NUTRICION,3,0.01
REVISTA DE CHIMIE,3,0.01
REVISTA DE LA FEDERACION ARGENTINA DE CARDIOLOGIA,3,0.01
REVISTA DE NEFROLOGIA DIALISIS Y TRASPLANTE,3,0.01
RSF THE RUSSELL SAGE JOURNAL OF THE SOCIAL SCIENCES,3,0.01
SAGE OPEN MEDICINE,3,0.01
SCANDINAVIAN JOURNAL OF CARING SCIENCES,3,0.01
SCIENCE ADVANCES,3,0.01
SCIENCE SPORTS,3,0.01
SCIENCE TRANSLATIONAL MEDICINE,3,0.01
SEMINARS IN LIVER DISEASE,3,0.01
SEXUALLY TRANSMITTED DISEASES,3,0.01
SHOCK,3,0.01
SOCIAL FORCES,3,0.01
SOCIAL ISSUES AND POLICY REVIEW,3,0.01
SOCIAL NEUROSCIENCE GENE ENVIRONMENT BRAIN BODY,3,0.01
SOCIAL WORK IN PUBLIC HEALTH,3,0.01
SOCIOECONOMIC STATUS AND HEALTH IN INDUSTRIAL NATIONS,3,0.01
SOCIOLOGICAL INQUIRY,3,0.01
SOCIOLOGICAL PERSPECTIVES,3,0.01
SOCIOLOGICAL QUARTERLY,3,0.01
SOCIOLOGY OF RACE AND ETHNICITY,3,0.01
SOUTH AFRICAN FAMILY PRACTICE,3,0.01
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,3,0.01
SPANISH JOURNAL OF PSYCHOLOGY,3,0.01
SPINAL CORD,3,0.01
SPRINGERPLUS,3,0.01
STRENGTH AND CONDITIONING JOURNAL,3,0.01
SUBSTANCE ABUSE,3,0.01
TEXAS HEART INSTITUTE JOURNAL,3,0.01
THERAPEUTIC ADVANCES IN ENDOCRINOLOGY AND METABOLISM,3,0.01
TOXICOLOGICAL SCIENCES,3,0.01
TRANSPORTATION RESEARCH PART F TRAFFIC PSYCHOLOGY AND BEHAVIOUR,3,0.01
TRENDS IN FOOD SCIENCE TECHNOLOGY,3,0.01
URBAN STUDIES,3,0.01
UROLOGIC CLINICS OF NORTH AMERICA,3,0.01
VITAMINS AND HORMONES,3,0.01
WESTERN JOURNAL OF MEDICINE,3,0.01
WORKPLACE HEALTH SAFETY,3,0.01
YEAR IN DIABETES AND OBESITY,3,0.01
2014 COMPUTING IN CARDIOLOGY CONFERENCE CINC VOL 41,2,0.007
AACN ADVANCED CRITICAL CARE,2,0.007
AAOHN JOURNAL,2,0.007
ACE BS 2012 BANGKOK,2,0.007
ACTA CLINICA BELGICA,2,0.007
ACTA ENDOCRINOLOGICA,2,0.007
ACTA MEDICA AUSTRIACA,2,0.007
ACTA MEDICA OKAYAMA,2,0.007
ACTA PAEDIATRICA JAPONICA,2,0.007
ACTA RADIOLOGICA,2,0.007
ADDICTIVE DISORDERS THEIR TREATMENT,2,0.007
ADICCIONES,2,0.007
ADVANCES IN BIOCHEMISTRY IN HEALTH AND DISEASE,2,0.007
ADVANCES IN CARDIOLOGY,2,0.007
ADVANCES IN CHILD DEVELOPMENT AND BEHAVIOR,2,0.007
ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY,2,0.007
ADVANCES IN MEDICAL SCIENCES,2,0.007
ADVANCES IN THE CONCEPTUALIZATION OF THE STRESS PROCESS ESSAYS IN HONOR OF LEONARD I PEARLIN,2,0.007
AEROSPACE MEDICINE AND HUMAN PERFORMANCE,2,0.007
AGGRESSION AND VIOLENT BEHAVIOR,2,0.007
AGING AND VULNERABILITY TO ENVIRONMENTAL CHEMICALS AGE RELATED DISORDERS AND THEIR ORIGINS IN ENVIRONMENTAL EXPOSURES,2,0.007
AIMS PUBLIC HEALTH,2,0.007
AKTUELLE ERNAHRUNGSMEDIZIN,2,0.007
ALCOHOL RESEARCH HEALTH,2,0.007
ALZHEIMER DISEASE ASSOCIATED DISORDERS,2,0.007
AMERICAN BEHAVIORAL SCIENTIST,2,0.007
AMERICAN ECONOMIC REVIEW,2,0.007
AMERICAN JOURNAL OF CARDIOVASCULAR DISEASE,2,0.007
AMERICAN JOURNAL OF CRITICAL CARE,2,0.007
AMERICAN JOURNAL OF MEDICAL GENETICS,2,0.007
AMERICAN JOURNAL OF NEURORADIOLOGY,2,0.007
AMERICAN JOURNAL OF NURSING,2,0.007
AMERICAN JOURNAL OF OTOLARYNGOLOGY,2,0.007
AMERICAN JOURNAL OF PATHOLOGY,2,0.007
AMERICAN JOURNAL OF ROENTGENOLOGY,2,0.007
AMERICAN JOURNAL OF SURGERY,2,0.007
AMERICAN REVIEW OF RESPIRATORY DISEASE,2,0.007
ANALYSIS IN NUTRITION RESEARCH PRINCIPLES OF STATISTICAL METHODOLOGY AND INTERPRETATION OF THE RESULTS,2,0.007
ANALYTICAL BIOCHEMISTRY,2,0.007
ANALYTICAL METHODS,2,0.007
ANDROLOGY,2,0.007
ANIMAL FEED SCIENCE AND TECHNOLOGY,2,0.007
ANNALES D ENDOCRINOLOGIE,2,0.007
ANNALS OF GENERAL PSYCHIATRY,2,0.007
ANNALS OF MEDICAL AND HEALTH SCIENCES RESEARCH,2,0.007
ANNALS OF SURGERY,2,0.007
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,2,0.007
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY VOL 16 2020,2,0.007
ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,2,0.007
ANNUAL REVIEW OF GERONTOLOGY AND GERIATRICS LIFE COURSE PERSPECTIVES ON LATE LIFE HEALTH INEQUALITIES VOL 29 2009,2,0.007
ANNUAL REVIEW OF MEDICINE,2,0.007
ANNUAL REVIEW OF PUBLIC HEALTH VOL 33,2,0.007
ANNUAL REVIEW OF PUBLIC HEALTH VOL 41,2,0.007
ANNUAL REVIEW OF SOCIOLOGY VOL 41,2,0.007
ANNUAL REVIEW OF SOCIOLOGY VOL 44,2,0.007
ANTHROPOLOGISCHER ANZEIGER,2,0.007
APPLIED DEMOGRAPHY AND PUBLIC HEALTH IN THE 21ST CENTURY,2,0.007
APPLIED DEMOGRAPHY SERIES,2,0.007
APPLIED ERGONOMICS,2,0.007
APPLIED GEOCHEMISTRY,2,0.007
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,2,0.007
ARCHIVES OF DISEASE IN CHILDHOOD FETAL AND NEONATAL EDITION,2,0.007
ARCHIVES OF FAMILY MEDICINE,2,0.007
ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,2,0.007
ARCHIVOS ARGENTINOS DE PEDIATRIA,2,0.007
ARHIV ZA HIGIJENU RADA I TOKSIKOLOGIJU ARCHIVES OF INDUSTRIAL HYGIENE AND TOXICOLOGY,2,0.007
ARITMIE PROGNOSI E TERAPIA DAI FARMACI ALL ABLAZIONE VOL II,2,0.007
ARRHYTHMIAS PROGNOSIS AND TREATMENT FROM DRUGS TO ABLATION VOL II,2,0.007
ARTERIAL HYPERTENSION,2,0.007
ARTERIOSCLEROSIS,2,0.007
ARTERY RESEARCH,2,0.007
ASIA PACIFIC PSYCHIATRY,2,0.007
ASIAN JOURNAL OF PSYCHIATRY,2,0.007
ASYMPTOMATIC ATHEROSCLEROSIS PATHOPHYSIOLOGY DETECTION AND TREATMENT,2,0.007
ATHLETIC THERAPY TODAY,2,0.007
AUTISM RESEARCH,2,0.007
AVIATION SPACE AND ENVIRONMENTAL MEDICINE,2,0.007
B E JOURNAL OF ECONOMIC ANALYSIS POLICY,2,0.007
BALI MEDICAL JOURNAL,2,0.007
BARIATRIC SURGICAL PRACTICE AND PATIENT CARE,2,0.007
BASIC RESEARCH IN CARDIOLOGY,2,0.007
BEHAVIOR MODIFICATION,2,0.007
BEHAVIORAL AND BRAIN FUNCTIONS,2,0.007
BEHAVIORAL NEUROSCIENCE,2,0.007
BENEFICIAL EFFECTS OF FISH OIL ON HUMAN BRAIN,2,0.007
BIOACTIVE FOOD AS DIETARY INTERVENTIONS FOR CARDIOVASCULAR DISEASE,2,0.007
BIOCOMPUTING PACIFIC SYMPOSIUM ON BIOCOMPUTING,2,0.007
BIOGERONTOLOGY,2,0.007
BIOLOGICAL PHARMACEUTICAL BULLETIN,2,0.007
BIOLOGICAL REVIEWS,2,0.007
BIOMARKERS IN CARDIOVASCULAR DISEASE VOLS 1 AND 2,2,0.007
BIOMARKERS IN DISEASE,2,0.007
BIOMEDICAL RESEARCH AND THERAPY,2,0.007
BIRTH DEFECTS RESEARCH PART A CLINICAL AND MOLECULAR TERATOLOGY,2,0.007
BLOOD ADVANCES,2,0.007
BMC GASTROENTEROLOGY,2,0.007
BMC GENOMICS,2,0.007
BMC IMMUNOLOGY,2,0.007
BMC MEDICAL GENOMICS,2,0.007
BMC MICROBIOLOGY,2,0.007
BMJ OPEN RESPIRATORY RESEARCH,2,0.007
BRAIN RESEARCH BULLETIN,2,0.007
BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES,2,0.007
BRITISH HEART JOURNAL,2,0.007
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,2,0.007
BRITISH JOURNAL OF DERMATOLOGY,2,0.007
BRITISH JOURNAL OF HOSPITAL MEDICINE,2,0.007
BRITISH JOURNAL OF OPHTHALMOLOGY,2,0.007
BRITISH JOURNAL OF RADIOLOGY,2,0.007
BRITISH JOURNAL OF SOCIOLOGY,2,0.007
BRITISH MEDICAL BULLETIN,2,0.007
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,2,0.007
BULLETIN OF THE WORLD HEALTH ORGANIZATION,2,0.007
BUSINESS SOCIETY,2,0.007
CAMBRIDGE HANDBOOK OF PSYCHOLOGY HEALTH AND MEDICINE 2ND EDITION,2,0.007
CANADIAN GERIATRICS JOURNAL,2,0.007
CANADIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,2,0.007
CANADIAN PSYCHOLOGY PSYCHOLOGIE CANADIENNE,2,0.007
CANCER AND ENERGY BALANCE EPIDEMIOLOGY AND OVERVIEW,2,0.007
CANCER AND METASTASIS REVIEWS,2,0.007
CANCER MANAGEMENT AND RESEARCH,2,0.007
CARDIAC CT IMAGING DIAGNOSIS OF CARDIOVASCULAR DISEASE SECOND EDITION,2,0.007
CARDIAC PROBLEMS IN PREGNANCY 4TH EDITION,2,0.007
CARDIOLOGY RESEARCH AND CLINICAL DEVELOPMENTS,2,0.007
CARDIOVASCULAR DIAGNOSIS AND THERAPY,2,0.007
CARDIOVASCULAR DISEASES GENETIC SUSCEPTIBILITY ENVIRONMENTAL FACTORS AND THEIR INTERACTION,2,0.007
CARDIOVASCULAR DISEASES NUTRITIONAL AND THERAPEUTIC INTERVENTIONS,2,0.007
CARDIOVASCULAR DRUG REVIEWS,2,0.007
CARDIOVASCULAR ENDOCRINOLOGY,2,0.007
CARDIOVASCULAR ENGINEERING TECHNOLOGICAL ADVANCEMENTS REVIEWS AND APPLICATIONS,2,0.007
CARDIOVASCULAR INNOVATIONS AND APPLICATIONS,2,0.007
CARDIOVASCULAR REVASCULARIZATION MEDICINE,2,0.007
CELL AND TISSUE RESEARCH,2,0.007
CELL BIOCHEMISTRY AND BIOPHYSICS,2,0.007
CELL CYCLE,2,0.007
CELL METABOLISM,2,0.007
CELL RESEARCH,2,0.007
CELLULAR AND MOLECULAR GASTROENTEROLOGY AND HEPATOLOGY,2,0.007
CEYLON MEDICAL JOURNAL,2,0.007
CHEMICO BIOLOGICAL INTERACTIONS,2,0.007
CHILD DEVELOPMENT PERSPECTIVES,2,0.007
CHILD PSYCHIATRY HUMAN DEVELOPMENT,2,0.007
CHRONIC OBSTRUCTIVE PULMONARY DISEASES JOURNAL OF THE COPD FOUNDATION,2,0.007
CIRUGIA Y CIRUJANOS,2,0.007
CITIES,2,0.007
CLINICA TERAPEUTICA,2,0.007
CLINICAL AND EXPERIMENTAL HYPERTENSION PART A THEORY AND PRACTICE,2,0.007
CLINICAL AND EXPERIMENTAL IMMUNOLOGY,2,0.007
CLINICAL AND TRANSLATIONAL GASTROENTEROLOGY,2,0.007
CLINICAL CANCER RESEARCH,2,0.007
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,2,0.007
CLINICAL EPIDEMIOLOGY,2,0.007
CLINICAL JOURNAL OF ONCOLOGY NURSING,2,0.007
CLINICAL MEDICINE,2,0.007
CLINICAL MEDICINE INSIGHTS CARDIOLOGY,2,0.007
CLINICAL NEUROPHYSIOLOGY,2,0.007
CLINICAL ORAL INVESTIGATIONS,2,0.007
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,2,0.007
CLINICAL OTOLARYNGOLOGY,2,0.007
CLINICAL PSYCHOLOGY SCIENCE AND PRACTICE,2,0.007
CLINICAL REVIEWS IN ALLERGY IMMUNOLOGY,2,0.007
CLINICAL TRANSLATIONAL IMMUNOLOGY,2,0.007
CLINICAL TRIALS,2,0.007
COGNITIVE THERAPY AND RESEARCH,2,0.007
COLD SPRING HARBOR PERSPECTIVES IN MEDICINE,2,0.007
COMMUNICATION RESEARCH,2,0.007
COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE,2,0.007
COMPLEXITY OF ADOLESCENT OBESITY CAUSES CORRELATES AND CONSEQUENCES,2,0.007
COMPREHENSIVE CARDIOVASCULAR MEDICINE IN THE PRIMARY CARE SETTING,2,0.007
CONSTRUCTIVIST FOUNDATIONS,2,0.007
CONTEMPORARY SLEEP MEDICINE FOR PHYSICIANS,2,0.007
CORONARY CALCIUM A COMPREHENSIVE UNDERSTANDING OF ITS BIOLOGY USE IN SCREENING AND INTERVENTIONAL MANAGEMENT,2,0.007
CORRESPONDANCES EN METABOLISMES HORMONES DIABETES ET NUTRITION,2,0.007
CRIME DELINQUENCY,2,0.007
CRITICAL CARE MEDICINE,2,0.007
CRITICAL PUBLIC HEALTH,2,0.007
CTS CLINICAL AND TRANSLATIONAL SCIENCE,2,0.007
CURRENT ALZHEIMER RESEARCH,2,0.007
CURRENT BIOLOGY,2,0.007
CURRENT ENVIRONMENTAL HEALTH REPORTS,2,0.007
CURRENT OPINION IN ANESTHESIOLOGY,2,0.007
CURRENT OPINION IN BEHAVIORAL SCIENCES,2,0.007
CURRENT OPINION IN HIV AND AIDS,2,0.007
CURRENT OPINION IN PHARMACOLOGY,2,0.007
CURRENT TOPICS IN NEUROTOXICITY,2,0.007
CYTOLOGY AND GENETICS,2,0.007
DAIRY DERIVED INGREDIENTS,2,0.007
DANISH MEDICAL BULLETIN,2,0.007
DERMATOLOGIC SURGERY,2,0.007
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,2,0.007
DEVIANT BEHAVIOR,2,0.007
DIABETES STOFFWECHSEL UND HERZ,2,0.007
DIABETES THERAPY,2,0.007
DIABETOLOGY INTERNATIONAL,2,0.007
DIET IMMUNITY AND INFLAMMATION,2,0.007
DIET NUTRIENTS AND BONE HEALTH,2,0.007
DISABILITY AND REHABILITATION,2,0.007
DRUG METABOLISM REVIEWS,2,0.007
DRUGS OF TODAY,2,0.007
DUAZARY,2,0.007
EARLY HUMAN DEVELOPMENT,2,0.007
EBIOMEDICINE,2,0.007
ECONOMICS BULLETIN,2,0.007
ECONOMICS OF EDUCATION REVIEW,2,0.007
EMBO MOLECULAR MEDICINE,2,0.007
ENERGY BALANCE AND PROSTATE CANCER,2,0.007
ENVIRONMENT AND BEHAVIOR,2,0.007
EPIDEMIOLOGIA E PSICHIATRIA SOCIALE AN INTERNATIONAL JOURNAL FOR EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES,2,0.007
EPIDEMIOLOGIA E SERVICOS DE SAUDE,2,0.007
EPMA JOURNAL,2,0.007
ERGONOMICS,2,0.007
ERJ OPEN RESEARCH,2,0.007
EURAMERICA,2,0.007
EUROPEAN ARCHIVES OF OTO RHINO LARYNGOLOGY,2,0.007
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,2,0.007
EUROPEAN EATING DISORDERS REVIEW,2,0.007
EUROPEAN JOURNAL OF AGEING,2,0.007
EUROPEAN JOURNAL OF CANCER,2,0.007
EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,2,0.007
EUROPEAN JOURNAL OF ECHOCARDIOGRAPHY,2,0.007
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,2,0.007
EUROPEAN JOURNAL OF PERSONALITY,2,0.007
EUROPEAN JOURNAL OF PSYCHIATRY,2,0.007
EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,2,0.007
EUROPEAN JOURNAL OF RADIOLOGY,2,0.007
EUROPEAN RESPIRATORY MONOGRAPH,2,0.007
EVOLUTION MEDICINE AND PUBLIC HEALTH,2,0.007
EVOLUTION OF CARDIO METABOLIC RISK FROM BIRTH TO MIDDLE AGE THE BOGALUSA HEART STUDY,2,0.007
EVOLUTIONARY APPLICATIONS,2,0.007
EXCLI JOURNAL,2,0.007
EXERCISE GENOMICS,2,0.007
EXPERT OPINION ON BIOLOGICAL THERAPY,2,0.007
EXPERT OPINION ON DRUG DISCOVERY,2,0.007
EXPERT OPINION ON INVESTIGATIONAL DRUGS,2,0.007
EXPERT REVIEW OF CLINICAL IMMUNOLOGY,2,0.007
EXPERT REVIEW OF PHARMACOECONOMICS OUTCOMES RESEARCH,2,0.007
EXPERT SYSTEMS WITH APPLICATIONS,2,0.007
FAMILY MEDICINE,2,0.007
FARMACIA,2,0.007
FEBS JOURNAL,2,0.007
FISH AND FISH OIL IN HEALTH AND DISEASE PREVENTION,2,0.007
FOOD AND BEVERAGE CONSUMPTION AND HEALTH,2,0.007
FOOD AND NUTRITION BULLETIN,2,0.007
FOOD SCIENCE AND HUMAN WELLNESS,2,0.007
FOOD SECURITY,2,0.007
FOODS FOR HEALTH IN THE 21ST CENTURY A ROAD MAP FOR THE FUTURE,2,0.007
FORENSIC SCIENCE INTERNATIONAL,2,0.007
FORENSIC SCIENCE INTERNATIONAL GENETICS,2,0.007
FORTSCHRITTE DER NEUROLOGIE PSYCHIATRIE,2,0.007
FRESENIUS ENVIRONMENTAL BULLETIN,2,0.007
FRONTIERS IN NUTRITION,2,0.007
FUNCTIONAL AND SPECIALITY BEVERAGE TECHNOLOGY,2,0.007
FUNCTIONAL DAIRY PRODUCTS VOLUME 2,2,0.007
FUTURE MEDICINAL CHEMISTRY,2,0.007
GENDER MEDICINE,2,0.007
GENDER SOCIETY,2,0.007
GENES BRAIN AND BEHAVIOR,2,0.007
GENETICS,2,0.007
GENOME BIOLOGY,2,0.007
GENOMIC AND PERSONALIZED MEDICINE VOL 1 2 2ND EDITION,2,0.007
GENOMICS,2,0.007
GEOJOURNAL,2,0.007
GEORGETOWN LAW JOURNAL,2,0.007
GERIATRIC NURSING,2,0.007
GESUNDHEITSWESEN,2,0.007
GLOBAL ENVIRONMENTAL CHANGE HUMAN AND POLICY DIMENSIONS,2,0.007
GLOBAL HEALTH RESEARCH AND POLICY,2,0.007
GLOBAL PERSPECTIVES ON CHILDHOOD OBESITY CURRENT STATUS CONSEQUENCES AND PREVENTION,2,0.007
GLOBALIZATION AND HEALTH,2,0.007
GUMS AND STABILISERS FOR THE FOOD INDUSTRY 15,2,0.007
GUT MICROBES,2,0.007
GYNAKOLOGE,2,0.007
GYNAKOLOGISCHE ENDOKRINOLOGIE,2,0.007
HAMOSTASEOLOGIE,2,0.007
HANDBOOK OF CHILDHOOD AND ADOLESCENT OBESITY,2,0.007
HANDBOOK OF LIPIDS IN HUMAN FUNCTION FATTY ACIDS,2,0.007
HARM REDUCTION JOURNAL,2,0.007
HARVARD REVIEW OF PSYCHIATRY,2,0.007
HEALTH EDUCATION,2,0.007
HEALTH EDUCATION JOURNAL,2,0.007
HEALTH INFORMATICS JOURNAL,2,0.007
HEALTH PROMOTION PERSPECTIVES,2,0.007
HEALTH PSYCHOLOGY OPEN,2,0.007
HEALTH SOCIAL WORK,2,0.007
HEALTH VALUES,2,0.007
HEALTHMED,2,0.007
HEART DISEASE ENVIRONMENT STRESS AND GENDER,2,0.007
HEART SURGERY FORUM,2,0.007
HEMATOLOGY AMERICAN SOCIETY OF HEMATOLOGY EDUCATION PROGRAM,2,0.007
HEPATO GASTROENTEROLOGY,2,0.007
HEPATOBILIARY SURGERY AND NUTRITION,2,0.007
HEPATOLOGY INTERNATIONAL,2,0.007
HIPPOKRATIA,2,0.007
HIV CLINICAL TRIALS,2,0.007
HOMO JOURNAL OF COMPARATIVE HUMAN BIOLOGY,2,0.007
HOUSING POLICY DEBATE,2,0.007
HUMAN FATIGUE RISK MANAGEMENT IMPROVING SAFETY IN THE CHEMICAL PROCESSING INDUSTRY,2,0.007
HUMAN GENOMICS,2,0.007
HUMAN PSYCHOPHARMACOLOGY CLINICAL AND EXPERIMENTAL,2,0.007
HYPERLIPIDEMIA IN PRIMARY CARE A PRACTICAL GUIDE TO RISK REDUCTION,2,0.007
IEEE EMBS CONFERENCE ON BIOMEDICAL ENGINEERING AND SCIENCES,2,0.007
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,2,0.007
IJC HEART VASCULATURE,2,0.007
IMMUNOLOGICAL REVIEWS,2,0.007
IMPROVING THE HEALTH PROMOTING PROPERTIES OF FRUIT AND VEGETABLE PRODUCTS,2,0.007
IMPROVING THE SAFETY AND QUALITY OF MILK VOLUME 2 IMPROVING QUALITY IN MILK PRODUCTS,2,0.007
INDIAN PEDIATRICS,2,0.007
INDONESIAN BIOMEDICAL JOURNAL,2,0.007
INDOOR AIR,2,0.007
INNOVATION IN AGING,2,0.007
INSIGHTS INTO IMAGING,2,0.007
INSULIN RESISTANCE NEW RESEARCH,2,0.007
INTEGRATIVE BIOLOGY,2,0.007
INTENSIVE CARE MEDICINE,2,0.007
INTERACTIVE JOURNAL OF MEDICAL RESEARCH,2,0.007
INTERNATIONAL HEALTH,2,0.007
INTERNATIONAL JOURNAL OF APPLIED EXERCISE PHYSIOLOGY,2,0.007
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,2,0.007
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,2,0.007
INTERNATIONAL JOURNAL OF BIOLOGICAL SCIENCES,2,0.007
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2,0.007
INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,2,0.007
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,2,0.007
INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE,2,0.007
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,2,0.007
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,2,0.007
INTERNATIONAL JOURNAL OF GENERAL MEDICINE,2,0.007
INTERNATIONAL JOURNAL OF GERONTOLOGY,2,0.007
INTERNATIONAL JOURNAL OF IMMUNOGENETICS,2,0.007
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,2,0.007
INTERNATIONAL JOURNAL OF LABORATORY HEMATOLOGY,2,0.007
INTERNATIONAL JOURNAL OF LEGAL MEDICINE,2,0.007
INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,2,0.007
INTERNATIONAL JOURNAL OF NURSING STUDIES,2,0.007
INTERNATIONAL JOURNAL OF OCCUPATIONAL SAFETY AND ERGONOMICS,2,0.007
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,2,0.007
INTERNATIONAL JOURNAL OF PHARMACEUTICAL SCIENCES AND RESEARCH,2,0.007
INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH,2,0.007
INTERNATIONAL JOURNAL OF REPRODUCTIVE BIOMEDICINE,2,0.007
INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,2,0.007
INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM,2,0.007
INTERNATIONAL JOURNAL OF STD AIDS,2,0.007
INTERNATIONAL MIGRATION REVIEW,2,0.007
INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT,2,0.007
INVESTIGACION CLINICA,2,0.007
IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE,2,0.007
IRANIAN HEART JOURNAL,2,0.007
IRANIAN JOURNAL OF PEDIATRICS,2,0.007
ISRAEL JOURNAL OF MEDICAL SCIENCES,2,0.007
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES,2,0.007
ISSUES IN TOXICOLOGY,2,0.007
ISTANBUL MEDICAL JOURNAL,2,0.007
ITALIAN JOURNAL OF MEDICINE,2,0.007
ITALIAN JOURNAL OF PEDIATRICS,2,0.007
JACC CARDIOVASCULAR INTERVENTIONS,2,0.007
JAMA OTOLARYNGOLOGY HEAD NECK SURGERY,2,0.007
JAPAN JOURNAL OF NURSING SCIENCE,2,0.007
JCPSP JOURNAL OF THE COLLEGE OF PHYSICIANS AND SURGEONS PAKISTAN,2,0.007
JNP JOURNAL FOR NURSE PRACTITIONERS,2,0.007
JORNAL BRASILEIRO DE PNEUMOLOGIA,2,0.007
JOURNAL DE GYNECOLOGIE OBSTETRIQUE ET BIOLOGIE DE LA REPRODUCTION,2,0.007
JOURNAL FOR SPECIALISTS IN PEDIATRIC NURSING,2,0.007
JOURNAL FUR HYPERTONIE,2,0.007
JOURNAL OF ABNORMAL PSYCHOLOGY,2,0.007
JOURNAL OF ADOLESCENT AND YOUNG ADULT ONCOLOGY,2,0.007
JOURNAL OF AGGRESSION MALTREATMENT TRAUMA,2,0.007
JOURNAL OF AGRICULTURE FOOD SYSTEMS AND COMMUNITY DEVELOPMENT,2,0.007
JOURNAL OF AGROMEDICINE,2,0.007
JOURNAL OF ANESTHESIA,2,0.007
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,2,0.007
JOURNAL OF APPLIED PSYCHOLOGY,2,0.007
JOURNAL OF ARRHYTHMIA,2,0.007
JOURNAL OF BASIC AND CLINICAL HEALTH SCIENCES,2,0.007
JOURNAL OF BEHAVIORAL ADDICTIONS,2,0.007
JOURNAL OF BIOLOGICAL RHYTHMS,2,0.007
JOURNAL OF CARDIAC SURGERY,2,0.007
JOURNAL OF CARDIOVASCULAR DEVELOPMENT AND DISEASE,2,0.007
JOURNAL OF CARDIOVASCULAR ECHOGRAPHY,2,0.007
JOURNAL OF CHILD ADOLESCENT SUBSTANCE ABUSE,2,0.007
