Organizations_Enhanced,records,percent_of_total
ADDIS ABABA UNIVERSITY,2,0.007
ADVANTAGE RISK MANAGEMENT CO LTD,2,0.007
ADVENTIST HLTH ST HELENA,2,0.007
AGENCE NATIONALE DE SECURITE SANITAIRE DE LALIMENTATION DE LENVIRONNEMENT DU TRAVAIL ANSES,2,0.007
AGROCAMPUS OUEST,2,0.007
AL NEELAIN UNIV,2,0.007
ALASKA NATIVE MEDICAL CENTER,2,0.007
ALB FILS KLINIKEN GOEPPINGEN,2,0.007
ALBANY COLLEGE OF PHARMACY HEALTH SCIENCES,2,0.007
ALBERT SCHWEITZER ZIEKENHUIS,2,0.007
ALEXANDRA HOSP,2,0.007
ALICE PECK DAY MEM HOSP,2,0.007
ALIMOS,2,0.007
ALKERMES,2,0.007
ALMOND BOARD CALIF,2,0.007
ALPARSLAN MAHALLESI,2,0.007
ALTRIA CLIENT SERV,2,0.007
ALTRIA CLIENT SERV INC,2,0.007
ALVARADO HOSP,2,0.007
ALZAHRA UNIVERSITY,2,0.007
AMD,2,0.007
AMER ASSOC ADVANCEMENT SCI,2,0.007
AMER ASSOC CLIN ENDOCRINOLOGISTS,2,0.007
AMER COLL CARDIOL,2,0.007
AMER COLL MED GENET GENOM,2,0.007
AMER HLTH INSURANCE PLANS,2,0.007
AMER PSYCHOL ASSOC,2,0.007
AMERICAN COLLEGE OF CARDIOLOGY,2,0.007
AMERICAN INSTITUTES FOR RESEARCH,2,0.007
AMIRKABIR UNIVERSITY OF TECHNOLOGY,2,0.007
AMSTERDAM INST GLOBAL HLTH DEV,2,0.007
AMSTERDAM UNIV APPL SCI,2,0.007
ANADOLU UNIVERSITY,2,0.007
ANAL GRP INC,2,0.007
ANALYT SERV INC ANSER,2,0.007
ANDONG NATIONAL UNIVERSITY,2,0.007
ANHUI MENTAL HLTH CTR,2,0.007
ANHUI UNIVERSITY,2,0.007
ANKARA KECIOREN TRAINING RESEARCH HOSPITAL,2,0.007
ANKARA OCCUPATIONAL DISEASES HOSPITAL,2,0.007
ANKARA PHYSICAL THERAPY REHABILITATION HOSPITAL,2,0.007
ANN ARBOR CTR EXCELLENCE,2,0.007
ANTONIO CARDARELLI HOSPITAL,2,0.007
ARAK UNIV MED SCI,2,0.007
ARBOR RESEARCH COLLABORATIVE FOR HEALTH,2,0.007
ARGOSY UNIVERSITY,2,0.007
ASAHI UNIVERSITY,2,0.007
ASF,2,0.007
ASFENDIYAROV KAZAKH NATIONAL MEDICAL UNIVERSITY,2,0.007
ASKLEPE GEN HOSP,2,0.007
ASL,2,0.007
ASL 1,2,0.007
ASL TO3 PIEDMONT REG,2,0.007
ASOCIAC BENEF PRISMA,2,0.007
ASOCIAC CIVIL PROESA,2,0.007
ASOCIAC EDUC SALUD ADEPS,2,0.007
ASSOC BLACK CARDIOLOGISTS INC,2,0.007
ASSOC CARDIAC RES,2,0.007
ASSOC IBLEA RIC EPIDEMIOL ONLUS,2,0.007
ASST GAETANO PINI CTO,2,0.007
ASST GRANDE OSPED METROPOLITANO NIGUARDA,2,0.007
ASST PAPA GIOVANNI XXIII,2,0.007
ATHABASCA UNIVERSITY,2,0.007
ATHEROPOINT LLC,2,0.007
ATHLONE INSTITUTE OF TECHNOLOGY,2,0.007
AUSTRALIAN INST TROP HLTH MED,2,0.007
AUSTRALIAN INSTITUTE OF SPORT,2,0.007
AVENTURA HOSP MED CTR,2,0.007
AZ ST JAN BRUGGE,2,0.007
AZABU UNIVERSITY,2,0.007
AZIENDA OSPEDALIERA MAGGIORE DELLA CARITA DI NOVARA,2,0.007
AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI,2,0.007
AZIENDA USL,2,0.007
AZUSA PACIFIC UNIV,2,0.007
BAEKSEOK UNIVERSITY,2,0.007
BAHIANA SCH MED PUBL HLTH,2,0.007
BAKER IDI HEART DIABET RES INST,2,0.007
BAKIRKOY DR SADI KONUK RESEARCH TRAINING HOSPITAL,2,0.007
BAOAN CHRON DIS PREVENT CURE HOSP,2,0.007
BAPTIST HLTH S FLORIDA,2,0.007
BAQAI MEDICAL UNIVERSITY,2,0.007
BAQIYATALLAH AS UNIV MED SCI,2,0.007
BARNSLEY HOSP NHS FDN TRUST,2,0.007
BASF,2,0.007
BASSINI HOSP,2,0.007
BASTRY UNIV,2,0.007
BATTELLE MEMORIAL INSTITUTE,2,0.007
BAY AREA PEDIAT,2,0.007
BC CHILDRENS HOSP RES INST,2,0.007
BEDFORD VA MED CTR,2,0.007
BEDFORD VET AFFAIRS MED CTR,2,0.007
BEHAV SLEEP MED PROGRAM,2,0.007
BEIJING INST HEART LUNG BLOOD VESSEL DIS,2,0.007
BEIJING JISHUITAN HOSP,2,0.007
BEIJING TSINGHUA CHANGGUNG HOSP,2,0.007
BEIJING UNION UNIVERSITY,2,0.007
BENEDICTINE UNIV,2,0.007
BENGBU MEDICAL COLLEGE,2,0.007
BERGEN REG MED CTR,2,0.007
BETHANIEN HOSP MOERS,2,0.007
BETHEL GOSPEL ASSEMBLY,2,0.007
BHARATHIAR UNIVERSITY,2,0.007
BIALYSTOK UNIVERSITY OF TECHNOLOGY,2,0.007
BIOANALYT MED LABS,2,0.007
BIODONOSTIA RES INST,2,0.007
BIOMED RES INST,2,0.007
BIOMED RES INST SALAMANCA IBSAL,2,0.007
BIOSPECTIVE INC,2,0.007
BIOTESYS GMBH,2,0.007
BIRJAND UNIV MED SCI,2,0.007
BIRMINGHAM HLTH PARTNERS,2,0.007
BNAI ZION MEDICAL CENTER,2,0.007
BOCCONI UNIVERSITY,2,0.007
BOISE STATE UNIVERSITY,2,0.007
BOSTON NUTR FDN,2,0.007
BOZOK UNIVERSITY,2,0.007
BRAHMS AG,2,0.007
BRENNER CHILDRENS HOSP,2,0.007
BRITISH COLUMBIA CANCER AGENCY,2,0.007
BRITISH NUTR FDN,2,0.007
BROOKLYN HOSPITAL CENTER,2,0.007
BRUNECK HOSP,2,0.007
BUCHEON ST MARYS HOSP,2,0.007
BUCK INSTITUTE FOR RESEARCH ON AGING,2,0.007
BUDDHIST TZU CHI MED FDN,2,0.007
BUFFALO STATE COLLEGE,2,0.007
BULENT ECEVIT UNIVERSITY,2,0.007
BULGARIAN ACADEMY OF SCIENCES,2,0.007
BUNDANG JESAENG GEN HOSP,2,0.007
BUR HIV AIDS PREVENT CONTROL,2,0.007
BURDUR STATE HOSPITAL,2,0.007
BUSHFIRE COOPERAT RES CTR,2,0.007
BUSSELTON POPULAT MED RES INST,2,0.007
CABRINI HEALTH,2,0.007
CADIZ UNIV,2,0.007
CALIF DEPT EDUC,2,0.007
CALIFORNIA STATE UNIVERSITY SACRAMENTO,2,0.007
CALIFORNIA STATE UNIVERSITY SAN MARCOS,2,0.007
CALVARY MATER NEWCASTLE HOSPITAL,2,0.007
CANADIAN FITNESS LIFESTYLE RESEARCH INSTITUTE,2,0.007
CANADIAN INOVATECH,2,0.007
CANADIAN PARTNERSHIP STROKE RECOVERY,2,0.007
CANANDAIGUA VA MED CTR,2,0.007
CANBERRA HOSPITAL,2,0.007
CAPES FDN,2,0.007
CARDIOMETAB RES INST,2,0.007
CARDIOMETABOL RES INST,2,0.007
CARDIOVASC PATHOL INST,2,0.007
CARDIOVASCULAR CENTER CVC FRANKFURT,2,0.007
CARNEY HOSP,2,0.007
CAROLINAS REHABIL,2,0.007
CATHARINA HOSPITAL,2,0.007
CATHOLIC UNIVERSITY KOREA HOSPITAL,2,0.007
CATHOLIC UNIVERSITY OF AMERICA,2,0.007
CAV CON INC,2,0.007
CAVITAT CONTROL TECHNOL INC,2,0.007
CBRE,2,0.007
CEIBA,2,0.007
CELAL BAYAR UNIVERSITY,2,0.007
CENT CLIN HOSP MSWIA,2,0.007
CENT HOSP,2,0.007
CENT MIL HOSP,2,0.007
CENTER CLINICAL BASIC RESEARCH,2,0.007
CENTER FOR INTERNATIONAL BLOOD MARROW TRANSPLANT RESEARCH,2,0.007
CENTRAL CHINA NORMAL UNIVERSITY,2,0.007
CENTRAL FLORIDA HOSPITAL SOUTH,2,0.007
CENTRE HOSPITALIER DU MANS,2,0.007
CENTRE HOSPITALIER SAINTE ANNE,2,0.007
CENTRE OF POSTGRADUATE MEDICAL EDUCATION POLAND,2,0.007
CENTRO DE INGENIERIA GENETICA Y BIOTECNOLOGIA,2,0.007
CENTRO HOSPITALAR DE LISBOA OCIDENTAL EPE,2,0.007
CHANGCHUN MENTAL HOSP,2,0.007
CHANGWON NATIONAL UNIVERSITY,2,0.007
CHANGZHOU CTR DIS CONTROL PREVENT,2,0.007
CHAOYANG DIST CTR DIS CONTROL PREVENT,2,0.007
CHATHAM UNIV,2,0.007
CHC BEZANIJSKA KOSA,2,0.007
CHEBOTARIOV INST GERONTOL,2,0.007
CHENG HSIN GENERAL HOSPITAL,2,0.007
CHENGDE MEDICAL COLLEGE,2,0.007
CHENGDU MEDICAL COLLEGE,2,0.007
CHENGDU UNIVERSITY,2,0.007
CHICAGO SCH PROFESS PSYCHOL,2,0.007
CHILD TRENDS,2,0.007
CHILDREN S HOSPITAL OF WISCONSIN,2,0.007
CHILDRENS HLTH RES INST,2,0.007
CHILDRENS HOSPITAL OF ORANGE COUNTY,2,0.007
CHILDRENS WOMENS HOSP BRITISH COLUMBIA,2,0.007
CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,2,0.007
CHINA MEITAN GEN HOSP,2,0.007
CHINA PHARMACEUTICAL UNIVERSITY,2,0.007
CHINA THREE GORGES UNIVERSITY,2,0.007
CHINA UNIVERSITY OF POLITICAL SCIENCE LAW,2,0.007
CHINESE ACADEMY OF AGRICULTURAL SCIENCES,2,0.007
CHINESE ACADEMY OF INSPECTION QUARANTINE,2,0.007
CHINESE PEOPLES ARMED POLICE FORCES,2,0.007
CHINESE RESEARCH ACADEMY OF ENVIRONMENTAL SCIENCES,2,0.007
CHIREC,2,0.007
CHONGQING MENTAL HLTH CTR,2,0.007
CHRIST CALVARY COMMUNITY DEV CORP,2,0.007
CHRISTIE HOSPITAL,2,0.007
CHRISTIE NHS FOUNDATION TRUST,2,0.007
CHRONORECORD ASSOC INC,2,0.007
CHU MARTINIQUE,2,0.007
CHU NICE,2,0.007
CHUNG HUA UNIVERSITY,2,0.007
CHUNG YUAN CHRISTIAN UNIVERSITY,2,0.007
CHUNICHI HOSP,2,0.007
CIBERFES,2,0.007
CIBERNED,2,0.007
CICCARONE CTR PREVENT HEART DIS,2,0.007
CINCINNATI CHILDREN S HOSPITAL RESEARCH FOUNDATION,2,0.007
CINDETEC,2,0.007
CIRAD,2,0.007
CITY COLL SAN FRANCISCO,2,0.007
CITY HOSP NHS TRUST,2,0.007
CJ CORP,2,0.007
CLEMENT J ZABLOCKI VA MED CTR,2,0.007
CLERMONT UNIV,2,0.007
CLIN DIRECTORS NETWORK INC CDN,2,0.007
CLIN EPIDEMIOL UNIT,2,0.007
CLIN GOLF,2,0.007
CLIN HOSP,2,0.007
CLIN PLATINUM,2,0.007
CLINIMEX,2,0.007
CLINPHENOMICS GMBH,2,0.007
CMSR VENETO MED,2,0.007
CNR REG TOSCANA,2,0.007
COCQ SIDA,2,0.007
COLEGIO PANAMERICANO ENDOTELIO,2,0.007
COLLEGE OF THE HOLY CROSS,2,0.007
COLUMBIA MAILMAN SCH PUBL HLTH,2,0.007
COMM REEXAMINE IOM PREGNANCY WEIGHT GUIDELINES,2,0.007
COMMUNITY PAEDIAT UNIT,2,0.007
COMPETENCE CLUSTER NUTR CARDIOVASC HLTH NUTRICA,2,0.007
COMPLEJO HOSPITALARIO DE TOLEDO,2,0.007
COMPLEXO HOSPITALARIO UNIVERSITARIO DE PONTEVEDRA,2,0.007
CONSEJERIA SANIDAD CONSUMO,2,0.007
CONSEJERIA SANIDAD POLIT SOCIAL,2,0.007
CONSTANTINE THE PHILOSOPHER UNIVERSITY IN NITRA,2,0.007
CONSUMER CENTR SOLUT LLC,2,0.007
COOPERAT RES CTR ASTHMA,2,0.007
CORIELL INSTITUTE FOR MEDICAL RESEARCH,2,0.007
CORNING INC,2,0.007
CORPORAL MICHAEL J CRESCENZ VET AFFAIRS MED CTR,2,0.007
CORUM ISKILIP STATE HOSPITAL,2,0.007
CORVASC VASC LAB,2,0.007
COUSINS CTR PSYCHONEUROIMMUNOL,2,0.007
CRC,2,0.007
CREDIT VALLEY HOSPITAL,2,0.007
CRIME MISCONDUCT COMMISS,2,0.007
CRNH IDF,2,0.007
CRNH RHONE ALPES,2,0.007
CSIR INDIAN INSTITUTE OF CHEMICAL BIOLOGY IICB,2,0.007
CSPO SCI INST TUSCANY,2,0.007
CTR CARDIOL INNOVAT,2,0.007
CTR CARDIOVASC DIS,2,0.007
CTR CLIN EPIDEMIOL RES,2,0.007
CTR DIS CONTROL CHANGSHU,2,0.007
CTR DIS PREVENT CONTROL JINCHANG DIST,2,0.007
CTR ESTUDIOS DIABET,2,0.007
CTR EXPERTISE CHRON ORGAN FAILURE,2,0.007
CTR HLTH RES,2,0.007
CTR HLTH SOC,2,0.007
CTR HOSP,2,0.007
CTR HOSP PORTO,2,0.007
CTR HOSP REG MONTGELAS,2,0.007
CTR INFLAMMAT METAB,2,0.007
CTR INVEST PREVENT CLIN,2,0.007
CTR MED,2,0.007
CTR MED PREVENT,2,0.007
CTR MED TEKNON,2,0.007
CTR MOL MED,2,0.007
CTR RECH CHUM,2,0.007
CTR RES FILARIASIS OTHER TROP DIS,2,0.007
CTR TRANSLAT RES,2,0.007
CTSSO,2,0.007
CURRY CABRAL HOSP,2,0.007
CYPRUS UNIVERSITY OF TECHNOLOGY,2,0.007
DA YEH UNIVERSITY,2,0.007
DAEGU MED CTR,2,0.007
DAEJEON UNIVERSITY,2,0.007
DAIRY RES INST,2,0.007
DALIAN UNIVERSITY,2,0.007
DALIAN UNIVERSITY OF TECHNOLOGY,2,0.007
DAQING 3 HOSP HEILONGJIANG PROV,2,0.007
DASA,2,0.007
DEIDO DIST HOSP,2,0.007
DENVER URBAN GARDENS,2,0.007
DEPT ENVIRONM HLTH,2,0.007
DEPT HLTH EXERCISE SCI,2,0.007
DEPT HUMAN DEV FAMILY STUDIES,2,0.007
DEPT KINESIOL,2,0.007
DEPT MAGEE WOMENS RES INST,2,0.007
DEPT NEUROL,2,0.007
DEPT NEUROSCI REHABIL OPHTHALMOL GENET MATERNAL,2,0.007
DEPT NUTR DIETET,2,0.007
DEPT NUTR SCI,2,0.007
DEPT OBSTET GYNAECOL,2,0.007
DEPT PEDIAT,2,0.007
DEPT POPULAT HLTH SCI,2,0.007
DEPT SALUD NAVARRA,2,0.007
DEPT SOCIAL SERV HLTH CARE,2,0.007
DEPT VET AFFAIRS OUTPATIENT CLIN,2,0.007
DEUTSCHES RHEUMA FORSCHUNGSZENTRUM DRFZ,2,0.007
DHQ HOSP,2,0.007
DIABET ACAD MERGENTHEIM FIDAM,2,0.007
DIABET CARE CTR,2,0.007
DIAGNOSTICUM,2,0.007
DIRECC SALUD GUIPUZCOA,2,0.007
DIV BIOSTAT,2,0.007
DIV PULM CRIT CARE MED,2,0.007
DONGSHIN UNIVERSITY,2,0.007
DORN VA MED CTR,2,0.007
DOSHISHA UNIVERSITY,2,0.007
DOUALA GEN HOSP,2,0.007
DOW CHEMICAL COMPANY,2,0.007
DOW CORNING,2,0.007
DR ABDURRAHMAN YURTASLAN ONCOLOGY HOSPITAL,2,0.007
DR ZEKAI TAHIR BURAK WOMEN S HEALTH RESEARCH EDUCATION HOSPITAL,2,0.007
DUDLEY GRP NHS FDN TRUST,2,0.007
DUKE MOL PHYSIOL INST,2,0.007
DUKE NATL UNIV,2,0.007
DULUTH CLIN,2,0.007
DUTCH GROWTH RES FDN,2,0.007
E SLOVAKIAN INST CARDIAC VASC DIS,2,0.007
EAST LIMBURG HOSPITAL,2,0.007
EASTERN MEDITERRANEAN UNIVERSITY,2,0.007
EASTERN WASHINGTON UNIVERSITY,2,0.007
ECOLE HAUTES ETUD SANTE PUBL,2,0.007
ECS CONSULTING INC,2,0.007
EDINBURGH NAPIER UNIVERSITY,2,0.007
EGAS MONIZ HOSPITAL,2,0.007
EHESP SCH PUBL HLTH,2,0.007
EINTHOVEN LAB EXPT VASC MED,2,0.007
EL COLEGIO DE LA FRONTERA SUR ECOSUR,2,0.007
ELENA VENIZELOU HOSP,2,0.007
EMEK MEDICAL CENTER,2,0.007
EMGO INST,2,0.007
EMMA CHILDREN S HOSPITAL,2,0.007
EMMES CORPORATION,2,0.007
EN HUA HOSP,2,0.007
ENDOCRINE DISRUPT EXCHANGE,2,0.007
ENDOCRINE SOC,2,0.007
ENDOCRINOLOGY RESEARCH CENTRE,2,0.007
EP BRADLEY HOSP,2,0.007
ERASMUS MC CANCER INSTITUTE,2,0.007
ES HLTH SCI FDN,2,0.007
ESSENTIA INST RURAL HLTH,2,0.007
EURO MEDITERRANEAN INST SCI TECHNOL,2,0.007
EUROCLIN HOSP,2,0.007
EUROPEAN FOOD SAFETY AUTHORITY,2,0.007
EUROPEAN UNIV,2,0.007
EUROPEAN UNIV APPL SCI,2,0.007
EUROPEAN UNIVERSITY INSTITUTE,2,0.007
EVAGELISMOS GEN HOSP ATHENS,2,0.007
FABIA MATER HOSP,2,0.007
FAC BIOL MED,2,0.007
FAC HOSP MOTOL,2,0.007
FAC MED BOTUCATU,2,0.007
FAC MED HLTH SCI,2,0.007
FAC MED TOULOUSE,2,0.007
FACTORS GRP RES,2,0.007
FACULTY OF SCIENCES SFAX,2,0.007
FAMILY HLTH CTR WORCESTER,2,0.007
FARMWORKER HOUSING DEV CORP,2,0.007
FDN HLTH RES CTR,2,0.007
FED RES INST NUTR FOOD,2,0.007
FED TEACHING HOSP,2,0.007
FED UNIV HLTH SCI PORTO ALEGRE,2,0.007
FED UNIV SERGIPE UFS,2,0.007
FED UNIV TECHNOL AKURE,2,0.007
FEDERAL RESEARCH CLINICAL CENTER OF INTENSIVE CARE MEDICINE REHABILITOLOGY,2,0.007
FEDERAL RESEARCH CLINICAL CENTER OF PHYSICAL CHEMICAL MEDICINE,2,0.007
FEIL FAMILY BRAIN MIND RES INST,2,0.007
FIFA MED CTR EXCELLENCE,2,0.007
FIFTH MEDICAL CENTER OF CHINESE PLA GENERAL HOSPITAL,2,0.007
FINNISH CANCER REGISTRY,2,0.007
FINNISH CTR HLTH PROMOT,2,0.007
FINNISH FDN ALCOHOL STUDIES,2,0.007
FINNISH FOOD AUTHORITY,2,0.007
FINNMARK HOSP TRUST,2,0.007
FIONA STANLEY HOSP,2,0.007
FIRST AFFILIATED HOSP,2,0.007
FIRST HOSP QINHUANGDAO,2,0.007
FIRST PEOPLES HOSP YUNNAN PROV,2,0.007
FLENI,2,0.007
FLUMINENSE FED UNIV,2,0.007
FOOD NUTR DATABASE RES INC,2,0.007
FORDE CENT HOSP,2,0.007
FRAUNHOFER GESELLSCHAFT,2,0.007
FRENCH INST SCI TECHNOL TRANSPORT DEV NETWORK,2,0.007
FRIEDRICH LOEFFLER INSTITUTE,2,0.007
FRIESLANDCAMPINA,2,0.007
FUJII MASAO MEM HOSP,2,0.007
FUNCT PROMOTING LLC,2,0.007
FUND SCI RES FLANDERS BELGIUM,2,0.007
FUNDACIO PUIGVERT,2,0.007
GALDAKAO HOSPITAL,2,0.007
GAMIAN EUROPE,2,0.007
GARTNAVEL ROYAL HOSPITAL,2,0.007
GDANSKI UNIWERSYTET MED,2,0.007
GEELONG HOSPITAL,2,0.007
GEISINGER CTR HLTH RES,2,0.007
GEN HOSP MITILINI,2,0.007
GEN INFO LTD,2,0.007
GEN MILLS BELL INST HLTH NUTR,2,0.007
GENOMAC INT,2,0.007
GEORGE INST INT HLTH,2,0.007
GEORGETOWN HOWARD UNIV,2,0.007
GEORGETOWN HOWARD UNIV CTR CLIN TRANSLAT SCI,2,0.007
GEORGIA DEPT PUBL HLTH,2,0.007
GERMAN CTR LUNG RES,2,0.007
GERMAN INSTITUTE FOR INTERNATIONAL EDUCATIONAL RESEARCH,2,0.007
GETTYSBURG COLLEGE,2,0.007
GIFU COLL MED TECHNOL,2,0.007
GIFU INT INST BIOTECHNOL,2,0.007
GIFU PREFECTURAL CTR HLTH CHECK HLTH PROMOT,2,0.007
GLASGOW CTR POPULAT HLTH,2,0.007
GLOBAL BIOMED TECHNOL INC,2,0.007
GLOTECH,2,0.007
GOLD COAST UNIVERSITY HOSPITAL,2,0.007
GOLSTAN UNIV MED SCI,2,0.007
GOOD SAMARITAN HOSP,2,0.007
GOVT INDIA,2,0.007
GRANTHAM HOSP,2,0.007
GREEN BAY PACKERS PROFESS FOOTBALL TEAM,2,0.007
GRIFFIN HOSP,2,0.007
GROUPE JOLIMONT,2,0.007
GUANGDONG 2 PROV PEOPLES HOSP,2,0.007
GUANGDONG PROV BIOMED ENGN TECHNOL RES CTR CARDIO,2,0.007
GUANGZHOU CTR DIS CONTROL PREVENT,2,0.007
GUANGZHOU INSTITUTE OF GEOCHEMISTRY CAS,2,0.007
GUANGZHOU ORTHOPAED TRAUMA HOSP,2,0.007
GUANGZHOU PANYU CENT HOSP,2,0.007
GUANGZHOU WOMEN CHILDRENS MED CTR,2,0.007
GULHANE TRAINING RESEARCH HOSPITAL,2,0.007
GURU NANAK DEV UNIVERSITY,2,0.007
GYEONGSANG NATIONAL UNIVERSITY HOSPITAL,2,0.007
HAI PHONG UNIV MED PHARM,2,0.007
HAINAN ANNING HOSP,2,0.007
HAINAN MEDICAL UNIVERSITY,2,0.007
HAMAD BIN KHALIFA UNIVERSITY QATAR,2,0.007
HAMAD GENERAL HOSPITAL,2,0.007
HANBUK UNIV,2,0.007
HANGZHOU HOSP TRADIT CHINESE MED,2,0.007
HANGZHOU MEDICAL COLLEGE,2,0.007
HANGZHOU NORMAL UNIVERSITY,2,0.007
HANKEN SCHOOL OF ECONOMICS,2,0.007
HANKINSON CONSULTING INC,2,0.007
HANZHONG CENT HOSP,2,0.007
HARBIN INSTITUTE OF TECHNOLOGY,2,0.007
HARRY PERKINS INSTITUTE OF MEDICAL RESEARCH,2,0.007
HARVARD UNIV,2,0.007
HARVARD UNIVERSITY HOSPITAL,2,0.007
HASBRO CHILDREN S HOSPITAL,2,0.007
HAUKELAND HOSP,2,0.007
HCPA,2,0.007
HEALING TOUCH ACUPUNCTURE,2,0.007
HEALING TOUCH CITY CLIN,2,0.007
HEALTH SCIENCES UNIVERSITY OF HOKKAIDO,2,0.007
HEALTHCARE INNOVAT TECHNOL LAB,2,0.007
HEALTHLINK SOUTH,2,0.007
HEALTHPARTNERS INST EDUC RES,2,0.007
HEART STROKE FDN CANADA,2,0.007
HEART VASC INST SAN ANTONIO,2,0.007
HEBEI MENTAL HLTH CTR,2,0.007
HEBEI UNIVERSITY,2,0.007
HEDMARK UNIV APPL SCI,2,0.007
HEFEI UNIVERSITY OF TECHNOLOGY,2,0.007
HEKTOEN INST MED RES,2,0.007
HELEN DEVOS CHILDRENS HOSP,2,0.007
HELEN F GRAHAM CANCER CENTER RESEARCH INSTITUTE,2,0.007
HELLEN ARMY ACAD,2,0.007
HELSE FONNA,2,0.007
HELWAN UNIVERSITY,2,0.007
HENAN UNIV CM,2,0.007
HENNEPIN HEALTHCARE,2,0.007
HENNEPIN HEALTHCARE RES INST,2,0.007
HERBERT WERTHEIM COLL MED,2,0.007
HIGASHIAGATSUMA MACHI NATL HLTH INSURANCE CLIN,2,0.007
HILLEL YAFFE MED CTR,2,0.007
HIROSAKI STROKE CTR,2,0.007
HITIT UNIVERSITY,2,0.007
HITOTSUBASHI UNIVERSITY,2,0.007
HLTH DIAGNOST LAB INC,2,0.007
HLTH MINIST POLYTECH PADANG,2,0.007
HLTH POLICY CTR,2,0.007
HLTH RES INST BALEARIC ISL IDISBA,2,0.007
HLTH SCI SYST NEVADA SYST HIGHER EDUC,2,0.007
HONG KONG INST DIABET OBES,2,0.007
HONG KONG UNIVERSITY OF SCIENCE TECHNOLOGY,2,0.007
HONGIK UNIVERSITY,2,0.007
HOOD CTR CHILDREN FAMILIES,2,0.007
HOP JEAN BERNARD,2,0.007
HOPE COLLEGE,2,0.007
HOPITAL LA RABTA,2,0.007
HOPITAL UNIVERSITAIRE ARMAND TROUSSEAU APHP,2,0.007
HOSHI UNIVERSITY,2,0.007
HOSP ASTI,2,0.007
HOSP CENT ASTURIAS MATERNIDAD,2,0.007
HOSP CLIN VALENCIA INCLIVA,2,0.007
HOSP CORACAO,2,0.007
HOSP GEN DR MANUEL GEA GONZALEZ,2,0.007
HOSP GEN GRANOLLERS,2,0.007
HOSP GEN MEXICO DR EDUARDO LICEAGA,2,0.007
HOSP KUALA LUMPUR,2,0.007
HOSP MOISES BROGGI DE ST JOAN DESPI,2,0.007
HOSP PROCARDIACO,2,0.007
HOSP PULIDO VALENTE,2,0.007
HOSP REG UNIV,2,0.007
HOSP SAN VICENTE,2,0.007
HOSP SOUTHWEST DENMARK,2,0.007
HOSP UNIV ANTONIO PEDRO,2,0.007
HOSP UNIV CLIN SAN CARLOS,2,0.007
HOSP UNIV MONTEPRINCIPE,2,0.007
HOSP UNIV MOSTOLES,2,0.007
HOSP UNIV NS CANDELARIA,2,0.007
HOSP UNIV NUESTRA SENORA CANDELARIA,2,0.007
HOSP UNIV QUIRON,2,0.007
HOSP UNIV SANT JOAN,2,0.007
HOSP UNIV SANTA LUCIA,2,0.007
HOSP UNIV ST JOAN,2,0.007
HOSP VIRGEN DE LA LUZ,2,0.007
HOSPITAL CLINIC UNIVERSITARI DE VALENCIA,2,0.007
HOSPITAL DE LA PRINCESA,2,0.007
HOSPITAL GENERAL DE MEXICO,2,0.007
HOSPITAL UNIVERSITARIO INFANTA SOFIA,2,0.007
HOSPITAL UNIVERSITARIO MUTUA TERRASSA,2,0.007
HOSPITAL UNIVERSITARIO SON LLATZER,2,0.007
HSE UNIVERSITY NATIONAL RESEARCH UNIVERSITY HIGHER SCHOOL OF ECONOMICS,2,0.007
HUANGHUAI UNIVERSITY,2,0.007
HUBEI PROV KEY LAB YEAST FUNCT,2,0.007
HUGEF,2,0.007
HUHS DIABET CTR,2,0.007
HUMANITAS RES HOSP,2,0.007
HUMANITAS UNIVERSITY,2,0.007
HUNTINGTON MEDICAL RESEARCH INSTITUTES,2,0.007
HYPERTROPH CARDIOMYOPATHY ASSOC,2,0.007
HYVINKAAN SAIRAALA,2,0.007
IACS,2,0.007
ICMR NATIONAL INSTITUTE FOR RESEARCH IN TUBERCULOSIS NIRT,2,0.007
ICON CLIN RES,2,0.007
IDF,2,0.007
IDIVAL,2,0.007
ILAM UNIV MED SCI,2,0.007
ILSI EUROPE AISBL,2,0.007
IMDEA ALIMENTAC,2,0.007
IMIBE,2,0.007
IMSS,2,0.007
INCHEON ST MARYS HOSP,2,0.007
INCLIVA,2,0.007
INCLIVA BIOMED RES INST,2,0.007
INCLIVA RES INST,2,0.007
INDEPENDENT CONSULTANT,2,0.007
INDIAN INSTITUTE OF TECHNOLOGY IIT DELHI,2,0.007
INDIRA GANDHI MEDICAL COLLEGE HOSPITAL SHIMLA,2,0.007
INDRAPRASTHA APOLLO HOSP,2,0.007
INEF CASTILLA LEON,2,0.007
INGENIX INC,2,0.007
INGREDION INC,2,0.007
INNER MONGOLIAN PEOPLES HOSP,2,0.007
INNER SAVO HLTH CTR,2,0.007
INSPECTORATE HLTH CARE,2,0.007
INST BEHAV COMMUNITY HLTH,2,0.007
INST BEHAV SCI,2,0.007
INST BLOOD TRANSFUS,2,0.007
INST CARDIOL BUENOS AIRES,2,0.007
INST CARDIOVASC DIS PROF DR CC ILIESCU,2,0.007
INST CIENCIAS CONDUCTA,2,0.007
INST CLIN EFFECTIVENESS HLTH POLICY,2,0.007
INST CORACAO INCOR,2,0.007
INST EDUC TECHNOL,2,0.007
INST GERONTOL,2,0.007
