Funding_Agencies,records,percent_of_total
PIRKANMAA HOSPITAL DISTRICT,2,0.007
POLISH SOCIETY FOR ATHEROSCLEROSIS RESEARCH,2,0.007
POLISH U S FULBRIGHT COMMISSION,2,0.007
POLITECNICO DI TORINO,2,0.007
POPULATION RESEARCH INSTITUTE,2,0.007
POPULATION RESEARCH TRAINING GRANT,2,0.007
PORTOLA,2,0.007
PORTOLA PHARMACEUTICALS,2,0.007
POZEN,2,0.007
PRESIDENT FOUNDATION OF NANFANG HOSPITAL SOUTHERN MEDICAL UNIVERSITY,2,0.007
PRESTIGE AND MARIE CURIE FELLOWSHIP,2,0.007
PREVENTIVE CARDIOVASCULAR NURSES ASSOCIATION THROUGH THE AMERICAN NURSES FOUNDATION,2,0.007
PRITZKER FOUNDATION,2,0.007
PROCTOR GAMBLE,2,0.007
PROFESSIONAL ASSOCIATION OF RHEUMATOLOGISTS,2,0.007
PROGRAM IN HEALTH DISPARITIES RESEARCH AT THE UNIVERSITY OF MINNESOTA,2,0.007
PROGRAMA DE APOIO A NUCLEOS DE EXCELENCIA PRONEX,2,0.007
PROGRAMA DE APOYO A PROYECTOS DE INVESTIGACION E INNOVACION TECNOLOGICA PAPIIT,2,0.007
PROGRAMA NACIONAL DE FORMACION DOCTORAL FRANCISCO JOSE DE CALDAS FROM COLCIENCIAS,2,0.007
PROJECT SUSTAINABILITY FOR THE NATIONAL INSTITUTE OF MENTAL HEALTH,2,0.007
PROPEL CENTRE FOR POPULATION HEALTH IMPACT AT THE UNIVERSITY OF WATERLOO WATERLOO ONTARIO CANADA,2,0.007
PROSTATE CANCER FOUNDATION,2,0.007
PROVIDENCE MEDICAL RESEARCH CENTER,2,0.007
PROVINCE OF GRONINGEN,2,0.007
PROYECTO DE INVESTIGACION DE EXCELENCIA,2,0.007
PSI GRAHAM FARQUHARSON KNOWLEDGE TRANSLATION FELLOWSHIP,2,0.007
PUBLIC HEALTH ENGLAND,2,0.007
PUBLIC SECTOR PROGRAM OF NATIONAL ENVIRONMENTAL PROTECTION OF THE PEOPLE S REPUBLIC OF CHINA,2,0.007
QATAR FOUNDATION,2,0.007
QATAR FOUNDATION THROUGH QATAR CARDIOVASCULAR RESEARCH CENTER DOHA QATAR,2,0.007
QMED INC,2,0.007
QMED INC LAURENCE HARBOR NJ,2,0.007
QUANTITATIVE BIOMEDICAL SCIENCES TRAINING PROGRAM AT GEISEL SCHOOL OF MEDICINE AT DARTMOUTH,2,0.007
QUEBEC POPULATION HEALTH RESEARCH NETWORK,2,0.007
QUEENSLAND FOUNDATION,2,0.007
R01,2,0.007
RAGUSA LOCAL SUPPORT,2,0.007
RAI SERVICES COMPANY WINSTON SALEM NC USA,2,0.007
RALPH W AND GRACE M SHOWALTER TRUST,2,0.007
RATIOPHARM GMBH,2,0.007
RAYMOND AND BEVERLEY SACKLER FELLOWSHIP,2,0.007
RECOVERY MEDICAL SCIENCE FOUNDATION,2,0.007
REGENERON PHARMACEUTICALS INC,2,0.007
REGION PAYS DE LA LOIRE,2,0.007
REGION SKANE COUNTY COUNCIL,2,0.007
REGIONAL GOVERNMENT OF NAVARRA,2,0.007
REGIONAL GOVERNMENT OF SKANE AND VASTERBOTTEN SWEDEN,2,0.007
REGIONE LOMBARDIA,2,0.007
REHABILITATION RESEARCH CENTER FOR TRADITIONAL CHINESE MEDICINE STATE ADMINISTRATION OF TRADITIONAL CHINESE MEDICINE OF THE PEOPLE S REPUBLIC OF CHINA,2,0.007
REHABILITATION RESEARCH CENTER OF FUJIAN PROVINCE,2,0.007
RESEARCH AND DEVELOPMENT OFFICE FOR THE NORTHERN IRELAND HEALTH AND SOCIAL SERVICES,2,0.007
RESEARCH CHAIR FROM THE OTTAWA HOSPITAL RESEARCH INSTITUTE,2,0.007
RESEARCH COUNCIL AT HERLEV HOSPITAL,2,0.007
RESEARCH COUNCIL OF FOOD SECURITY RESEARCH CENTER,2,0.007
RESEARCH COUNCIL OF SWEDEN,2,0.007
RESEARCH FOUNDATION OF ORION CORPORATION,2,0.007
RESEARCH FUNDS OF THE UNIVERSITY OF HELSINKI,2,0.007
RESEARCH INSTITUTE FOR ENDOCRINE SCIENCES,2,0.007
RESEARCH INSTITUTE OF MEDICAL SCIENCES CHONNAM NATIONAL UNIVERSITY,2,0.007
RESEARCH INTO AGEING,2,0.007
RESEARCH PROGRAM KOREA CENTERS FOR DISEASE CONTROL AND PREVENTION,2,0.007
RESEARCH PROGRAM WISSEN SCHAFFT ZUKUNFT OF THE JOHANNES GUTENBERG UNIVERSITY OF MAINZ,2,0.007
RESEARCH UNDERSECRETARY OF TABRIZ UNIVERSITY OF MEDICAL SCIENCES,2,0.007
RESEAU QUEBECOIS DE RECHERCHE SUR LE VIEILLISSEMENT,2,0.007
RESPICARDIA,2,0.007
RESPIRATORY HEALTH ASSOCIATION OF METROPOLITAN CHICAGO,2,0.007
RESPIRONICS SLEEP AND RESPIRATORY RESEARCH FOUNDATION,2,0.007
RGC THEME BASED RESEARCH SCHEME,2,0.007
RHEUMATOLOGY RESEARCH FOUNDATION,2,0.007
RICHARD AND EDITH STRAUSS CANADA FOUNDATION,2,0.007
RICHARD TAM FOUNDATION AT THE UNIVERSITY OF MICHIGAN,2,0.007
ROBERT C BORWELL ENDOWMENT FUND,2,0.007
ROBERT LUFF FOUNDATION,2,0.007
ROBERT WOOD JOHNSON AMOS MEDICAL FACULTY DEVELOPMENT AWARD,2,0.007
ROBERT WOOD JOHNSON FOUNDATION ACTIVE LIVING RESEARCH NEW CONNECTIONS,2,0.007
ROBERT WOOD JOHNSON FOUNDATION HEALTH POLICY RESEARCH SCHOLARS PROGRAM,2,0.007
ROBERT WOOD JOHNSON FOUNDATION HEALTH SOCIETY SCHOLARS PROGRAM AT HARVARD UNIVERSITY,2,0.007
ROBERT WOOD JOHNSON HAROLD AMOS PROGRAM,2,0.007
ROBERT WOOD JOHNSON HEALTH AND SOCIETY SCHOLARS PROGRAM AT THE UNIVERSITY OF PENNSYLVANIA,2,0.007
ROBERT WOOD JOHNSON HEALTH AND SOCIETY SCHOLARS PROGRAM UCB SITE,2,0.007
ROBERT WOOD JOHNSON HEALTH AND SOCIETY SCHOLARS PROGRAM UCB SITE USA,2,0.007
ROYAL HOBART HOSPITAL FOUNDATION,2,0.007
ROYAL PERTH HOSPITAL MEDICAL RESEARCH FOUNDATION,2,0.007
ROYAL SOCIETY OF NEW ZEALAND,2,0.007
RURAL DEVELOPMENT ADMINISTRATION RDA,2,0.007
RUSSIAN FEDERATION,2,0.007
RWJ FOUNDATION HAROLD AMOS FACULTY DEVELOPMENT PROGRAM,2,0.007
RYOICHI SASAKAWA FELLOWSHIP FUND,2,0.007
S ROBERT DAVIS ENDOWMENT,2,0.007
SA HEALTH,2,0.007
SACRED HEART MEDICAL CENTER,2,0.007
SAHLGRENSKA ACADEMY AT GOTHENBURG UNIVERSITY,2,0.007
SAHLGRENSKA ACADEMY AT THE UNIVERSITY OF GOTHENBURG,2,0.007
SAMFUNDET FOLKHALSAN,2,0.007
SAMHSA,2,0.007
SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION WIC,2,0.007
SANDRA DAUGHERTY FOUNDATION,2,0.007
SANOFI AVENTIS NETHERLANDS B V,2,0.007
SANOFI AVENTIS NETHERLANDS GOUDA THE NETHERLANDS,2,0.007
SANOFI SYNTHELABO GMBH,2,0.007
SANWA KAGAKU KENKYUSHO CO LTD,2,0.007
SARNOFF CARDIOVASCULAR RESEARCH FOUNDATION,2,0.007
SATELLITE HEALTHCARE,2,0.007
SCHERING,2,0.007
SCHOOL OF PUBLIC HEALTH,2,0.007
SCIENCE AND DEVELOPMENT FOUNDATION OF AGOSTINHO NETO UNIVERSITY ANGOLA AFRICA,2,0.007
SCIENCE AND TECHNOLOGY DEPARTMENT OF BRAZIL S MINISTRY OF HEALTH,2,0.007
SCIENCE AND TECHNOLOGY FOUNDATION FOR INNOVATION TALENT OF HENAN PROVINCE,2,0.007
SCIENCE AND TECHNOLOGY PLAN PROJECTS OF GUANGDONG PROVINCE,2,0.007
SCIENCE AND TECHNOLOGY PROGRAM OF GUANGZHOU,2,0.007
SCIENCE AND TECHNOLOGY PROJECT OF HUNAN PROVINCE,2,0.007
SCIENCE FOUNDATION OF TIANJIN MEDICAL UNIVERSITY CHINA,2,0.007
SCIENCE RESEARCH FOUNDATION ITEM OF NO EARNINGS HEALTH VOCATION,2,0.007
SCIENTIFIC INSTITUTE FOR QUALITY OF HEALTH CARE IQ HEALTHCARE,2,0.007
SCOTTISH EXECUTIVE HEALTH DEPARTMENT,2,0.007
SCOTTISH GOVERNMENT,2,0.007
SEATTLE GENETICS,2,0.007
SECRETARIA DE CIENCIA Y TECNOLOGIA SECYT,2,0.007
SEOUL RBD PROGRAM,2,0.007
SERBIAN MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGICAL DEVELOPMENT,2,0.007
SERBIAN MINISTRY OF SCIENCE AND ENVIRONMENTAL PROTECTION,2,0.007
SERVIER DENMARK A S,2,0.007
SEVERO OCHOA CENTER OF EXCELLENCE,2,0.007
SHAHID BEHESHTI UNIVERSITY OF MEDICAL SCIENCES,2,0.007
SHALVI FOUNDATION,2,0.007
SHALVI FOUNDATION FOR MEDICAL RESEARCH,2,0.007
SHANAHAN ENDOWMENT FELLOWSHIP,2,0.007
SHANGHAI BUREAU OF HEALTH,2,0.007
SHANGHAI COMMISSION OF EDUCATION,2,0.007
SHANGHAI HEALTH SYSTEM OUTSTANDING YOUNG TALENTS TRAINING PROGRAM,2,0.007
SHANGHAI JIAOTONG UNIVERSITY SCHOOL OF MEDICINE,2,0.007
SHANGHAI MUNICIPAL HEALTH COMMISSION,2,0.007
SHANGHAI MUNICIPAL SCIENCE AND TECHNOLOGY MAJOR PROJECT,2,0.007
SHANGHAI SAILING PROGRAM,2,0.007
SHANGHAI UNITED DEVELOPING TECHNOLOGY PROJECT OF MUNICIPAL HOSPITALS,2,0.007
SHENZHEN AUSA PHARMED CO LTD,2,0.007
SHENZHEN NANSHAN BUREAU OF SCIENCE AND TECHNOLOGY,2,0.007
SHEPHERD FOUNDATION,2,0.007
SHIONOGI,2,0.007
SHIONOGI CO LTD,2,0.007
SHIRAZ UNIVERSITY,2,0.007
SHIRE PHARMACEUTICALS,2,0.007
SICILIAN REGIONAL GOVERNMENT,2,0.007
SIEMENS MEDICAL SOLUTIONS,2,0.007
SIGMA THETA TAU INTERNATIONAL,2,0.007
SIMON FRASER UNIVERSITY,2,0.007
SINGAPORE CONSORTIUM OF COHORT STUDIES A STAR BIOMEDICAL RESEARCH COUNCIL,2,0.007
SINGAPORE INSTITUTE FOR CLINICAL SCIENCES AGENCY FOR SCIENCE TECHNOLOGY AND RESEARCH A STAR SINGAPORE,2,0.007
SINGAPORE NATIONAL RESEARCH FOUNDATION UNDER ITS TRANSLATIONAL AND CLINICAL RESEARCH TCR FLAGSHIP PROGRAMME,2,0.007
SINGHEALTH,2,0.007
SIR HENRY DALE FELLOWSHIP ROYAL SOCIETY,2,0.007
SIR JULES THORN TRUST,2,0.007
SLEEP RESEARCH SOCIETY,2,0.007
SLEEP RESEARCH SOCIETY FOUNDATION,2,0.007
SLIMMING WORLD,2,0.007
SMOKING RESEARCH FOUNDATION TOKYO JAPAN,2,0.007
SOCIAL SCIENCES AND HUMANITIES RESEARCH COUNCIL GRANT,2,0.007
SOCIAL SECURITY ADMINISTRATION,2,0.007
SOCIETY FOR THE PSYCHOLOGICAL STUDY OF SOCIAL ISSUES,2,0.007
SOCIETY FOR WOMEN S HEALTH RESEARCH WASHINGTON DC,2,0.007
SOLVAY PHARMACEUTICALS,2,0.007
SOMNUS,2,0.007
SOMNUS THERAPEUTICS,2,0.007
SOPHIA FOUNDATION FOR MEDICAL RESEARCH,2,0.007
SORIN,2,0.007
SOUTH AFRICA NETHERLANDS RESEARCH PROGRAMME ON ALTERNATIVES IN DEVELOPMENT,2,0.007
SOUTH AUSTRALIAN CARDIOVASCULAR RESEARCH DEVELOPMENT PROGRAM,2,0.007
SOUTH AUSTRALIAN CARDIOVASCULAR RESEARCH DEVELOPMENT PROGRAM FELLOWSHIP,2,0.007
SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,2,0.007
SPANISH GOVERNMENT INSTITUTO CARLOS III,2,0.007
SPANISH INSTITUTO DE SALUD CARLOS III GRANT,2,0.007
SPANISH MINISTERIO DE ASUNTOS EXTERIORES Y COOPERACION,2,0.007
SPANISH MINISTRY OF EDUCATION CULTURE AND SPORT,2,0.007
SPANISH MINISTRY OF EDUCATION CULTURE AND SPORTS,2,0.007
SPANISH MINISTRY OF HEALTH CARLOS III HEALTH INSTITUTE THROUGH THE FONDO DE INVESTIGACION PARA LA SALUD FIS,2,0.007
SPANISH REGIONAL GOVERNMENT OF ANDALUSIA,2,0.007
SPANISH REGIONAL GOVERNMENT OF ASTURIAS,2,0.007
SPANISH REGIONAL GOVERNMENT OF BASQUE COUNTRY,2,0.007
SPANISH REGIONAL GOVERNMENT OF MURCIA,2,0.007
SPANISH REGIONAL GOVERNMENT OF NAVARRA,2,0.007
SPECIAL GOVERNMENTAL GRANTS FOR HEALTH SCIENCES RESEARCH,2,0.007
SPECIAL SCIENTIFIC RESEARCH PROJECT OF GUANGZHOU CITY,2,0.007
SPECTRUM PHARMACEUTICALS INC,2,0.007
SPHR,2,0.007
SPRIM,2,0.007
SRP IN DIABETES AT KAROLINSKA INSTITUTET,2,0.007
ST BALDRICK S FOUNDATION,2,0.007
ST GEORGE S UNIVERSITY OF LONDON,2,0.007
ST JUDE S CHILDREN S RESEARCH HOSPITAL,2,0.007
ST LUKE S GRANT FOR THE EPIDEMIOLOGICAL RESEARCH,2,0.007
ST LUKE S HOSPITAL NEW YORK,2,0.007
STANDORTAGENTUR TIROL,2,0.007
STANLEY MEDICAL RESEARCH INSTITUTE,2,0.007
STATE KEY LABORATORY FOR ORGAN FAILURE RESEARCH NANFANG HOSPITAL NANFANG MEDICAL UNIVERSITY GUANGZHOU CHINA,2,0.007
STATE KEY LABORATORY OF URBAN AND REGIONAL ECOLOGY OF CHINA,2,0.007
STATE OF UTAH DEPARTMENT OF HEALTH THE NORTHERN CALIFORNIA CANCER REGISTRY,2,0.007
STATE SCHOLARSHIP FOUNDATION OF GREECE,2,0.007
STATE UNIVERSITY OF LONDRINA PROPPG,2,0.007
STATE UNIVERSITY OF NEW YORK,2,0.007
STAVROS NIARCHOS FOUNDATION,2,0.007
STAVROS NIARCHOS FOUNDATION GREECE,2,0.007
STELLENBOSCH UNIVERSITY,2,0.007
STENO DIABETES CENTER,2,0.007
STEVE FUND,2,0.007
STEVEN M GOOTTER FOUNDATION,2,0.007
STICHTING ANNADAL,2,0.007
STIFTUNG EHEMALS BUNDNER HEILSTATTEN,2,0.007
STOCKHOLM STRESS CENTER,2,0.007
STOCKHOLM UNIVERSITY,2,0.007
STRATEGIC RESEARCH COUNCIL OF SVENDBORG HOSPITAL,2,0.007
STRATEGICALLY FOCUSED RESEARCH NETWORK GRANT FOR PREVENTION FROM THE AMERICAN HEART ASSOCIATION,2,0.007
STRATEGICALLY FOCUSED RESEARCH NETWORK IN DISPARITIES IN CARDIOVASCULAR DISEASE GRANT FROM THE AMERICAN HEART ASSOCIATION,2,0.007
STROKE ASSOCIATION UK,2,0.007
STYRIAN BUSINESS PROMOTION AGENCY SFG,2,0.007
SUGAR ASSOCIATION OF SOUTH AFRICA,2,0.007
SUN CHIEH YEH HEART FOUNDATION,2,0.007
SUN YAT SEN UNIVERSITY GUANGZHOU P R CHINA,2,0.007
SUNESIS PHARMACEUTICALS INC,2,0.007
SURVEILLANCE EPIDEMIOLOGY AND END RESULTS SEER PROGRAM OF THE NATIONAL CANCER INSTITUTE,2,0.007
SUZHOU SCIENCE AND TECHNOLOGY PROJECT,2,0.007
SWAN REPOSITORY,2,0.007
SWEDISH ALF GOVERNMENT,2,0.007
SWEDISH ASTHMA AND ALLERGY ASSOCIATION,2,0.007
SWEDISH BRAIN FOUNDATION,2,0.007
SWEDISH COUNCIL FOR RESEARCH IN THE HUMANITIES AND SOCIAL SCIENCES,2,0.007
SWEDISH CULTURAL FOUNDATION IN FINLAND,2,0.007
SWEDISH RESEARCH COUNCIL RESEARCH INFRASTRUCTURE,2,0.007
SWEDISH SCIENTIFIC COUNCIL SWEDEN,2,0.007
SWEDISH STATE,2,0.007
SWEDISH STATE UNDER THE AGREEMENT CONCERNING RESEARCH AND EDUCATION OF DOCTORS,2,0.007
SWISS RENAL FOUNDATION ALFRED AND ERIKA BAR SPYCHER FOUNDATION,2,0.007
SWISS SCHOOL OF PUBLIC HEALTH PLUS,2,0.007
SWISS SCHOOL OF PUBLIC HEALTH SSPH,2,0.007
SYLVESTER COMPREHENSIVE CANCER CENTER,2,0.007
SYREX,2,0.007
SYSTEMSX CH,2,0.007
T FRANKLIN WILLIAMS SCHOLARSHIP AWARD,2,0.007
TABRIZ HEALTH SERVICES MANAGEMENT RESEARCH CENTER AT TABRIZ UNIVERSITY OF MEDICAL SCIENCES,2,0.007
TAICHUNG VETERANS GENERAL HOSPITAL,2,0.007
TAIPEI VETERANS GENERAL HOSPITAL NATIONAL YANG MING UNIVERSITY EXCELLENT PHYSICIAN SCIENTISTS CULTIVATION PROGRAM,2,0.007
TAIWAN DEPARTMENT OF HEALTH CLINICAL TRIAL AND RESEARCH CENTER OF EXCELLENCE,2,0.007
TAIWAN FOUNDATION FOR GERIATRIC EMERGENCY AND CRITICAL CARE,2,0.007
TAIWAN MINISTRY OF SCIENCE AND TECHNOLOGY,2,0.007
TAKEDA MEDICAL RESEARCH FOUNDATION,2,0.007
TALECRIS BIOTHERAPEUTICS GMBH,2,0.007
TAMPERE UNIVERSITY CENTRAL HOSPITAL MEDICAL FUND,2,0.007
TANOTO FOUNDATION,2,0.007
TANOX,2,0.007
TARGET AUSTRALIA PTY LTD NORTH GEELONG VICTORIA AUSTRALIA,2,0.007
TASMANIAN ASTHMA FOUNDATION,2,0.007
TASMANIAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,2,0.007
TECHNOLOGIESTICHTING STW,2,0.007
TEXAS HEALTH RESOURCES CLINICAL SCHOLARS PROGRAM,2,0.007
TEXAS HEALTH RESOURCES CLINICAL SCHOLARSHIP,2,0.007
THAI HEALTH PROMOTION FOUNDATION,2,0.007
THE DANISH HEART FOUNDATION,2,0.007
THE DANISH PHARMACEUTICAL ASSOCIATION,2,0.007
THE SIR JULES THORN CHARITABLE TRUST,2,0.007
THE WORLD BANK INDIA,2,0.007
THRASHER PEDIATRIC RESEARCH FOUNDATION MENTORED PILOT GRANT,2,0.007
THRASHER RESEARCH FUND,2,0.007
THUREUS FOUNDATION,2,0.007
TIANJIN PUBLIC HEALTH BUREAU,2,0.007
TIANJIN WOMEN S AND CHILDREN S HEALTH CENTER,2,0.007
TIMBER MERCHANT VILHELM BANG S FOUNDATION,2,0.007
TOBAGO HOUSE OF ASSEMBLY,2,0.007
TODD ANTHONY BELL NATIONAL RESOURCE CENTER ON THE AFRICAN AMERICAN MALE,2,0.007
TOP INSTITUTE TI FOOD AND NUTRITION,2,0.007
TOP NOTCH ACADEMIC PROGRAMS PROJECT OF JIANGSU HIGHER EDUCATION INSTITUTIONS,2,0.007
TOPCON,2,0.007
TORSTEN AND RAGNAR SODERBERG S FOUNDATION,2,0.007
TORSTEN SODERBERG FOUNDATION,2,0.007
TOUGALOO COLLEGE FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE,2,0.007
TOUGALOO COLLEGE FROM THE NATIONAL INSTITUTE FOR MINORITY HEALTH AND HEALTH DISPARITIES,2,0.007
TOUGALOO COLLEGE FROM THE NATIONAL INSTITUTE FOR MINORITY HEALTH AND HEALTH DISPARITIES NIMHD,2,0.007
TOUGALOO COLLEGE FROM THE NHLBI,2,0.007
TRANSORAL,2,0.007
TRDRP,2,0.007
TREVENA,2,0.007
TRUSTEES OF HEALTH AND HOSPITALS OF THE CITY OF BOSTON INC,2,0.007
TULANE CENTER OF BIOMEDICAL RESEARCH EXCELLENCE FOR CLINICAL AND TRANSLATIONAL RESEARCH IN CARDIOMETABOLIC DISEASES,2,0.007
TULANE LSU CHARITY HOSPITAL GENERAL CLINICAL RESEARCH CENTER,2,0.007
TUNISIAN MINISTRY OF HIGHER EDUCATION,2,0.007
TURKISH ACADEMY OF SCIENCES,2,0.007
TURKISH SOCIETY OF CARDIOLOGY,2,0.007
TURKU UNIVERSITY,2,0.007
TWAS STUDENTSHIP OF THE CHINESE ACADEMY OF SCIENCES,2,0.007
TWELFTH FIVE YEAR PROJECT FUNDS NATIONAL SCIENCE AND TECHNOLOGY SUPPORT PROGRAM OF CHINA,2,0.007
TZU CHI UNIVERSITY HUALIEN TAIWAN,2,0.007
U S DEPARTMENT OF DEFENSE DEFENSE HEALTH PROGRAM,2,0.007
U S DEPARTMENT OF DEFENSE JOINT PROGRAM COMMITTEE,2,0.007
U S DEPARTMENT OF HEALTH AND HUMAN SERVICES HHS,2,0.007
U S ENVIRONMENTAL PROTECTION AGENCY EPA UNDER SCIENCE TO ACHIEVE RESULTS STAR PROGRAM,2,0.007
U S SOCIAL SECURITY ADMINISTRATION,2,0.007
UAB CENTER FOR CLINICAL AND TRANSLATIONAL SCIENCE,2,0.007
UAB MINORITY HEALTH AND HEALTH DISPARITIES RESEARCH CENTER,2,0.007
UBS WEALTH FOUNDATION,2,0.007
UC CENTER FOR NEW RACIAL STUDIES,2,0.007
UC CENTER FOR NEW RACIAL STUDIES USA,2,0.007
UC DAVIS CTSC,2,0.007
UC DAVIS CTSC HIGHLY INNOVATIVE PILOT AWARD,2,0.007
UCB POPULATION CENTER USA,2,0.007
UCB RESEARCH BRIDGING GRANT USA,2,0.007
UCLA,2,0.007
UCLA CALIFORNIA CENTER FOR POPULATION RESEARCH,2,0.007
UCLA OLDER AMERICANS INDEPENDENCE CENTER NATIONAL INSTITUTE ON AGING,2,0.007
UCSF,2,0.007
UCSF HELLMAN FAMILY FACULTY AWARD,2,0.007
UCSF OPEN ACCESS PUBLISHING FUND,2,0.007
UCSF RESEARCH EVALUATION AND ALLOCATION COMMITTEE REAC,2,0.007
UK BIOBANK,2,0.007
UK DEPARTMENT OF HEALTH POLICY RESEARCH PROGRAMME,2,0.007
UK ECONOMIC AND SOCIAL RESEARCH COUNCIL S INTERNATIONAL CENTRE FOR LIFE COURSE STUDIES IN SOCIETY AND HEALTH,2,0.007
UK MRC FELLOWSHIP,2,0.007
UK NATIONAL INSTITUTE OF HEALTH RESEARCH NIHR SENIOR FELLOWSHIP,2,0.007
UMM AL QURA UNIVERSITY MAKKAH SAUDI ARABIA,2,0.007
UNI HEALTH,2,0.007
UNIFESP,2,0.007
UNITED NATIONS POPULATION FUND UNFPA,2,0.007
UNITED STATES DEPARTMENT OF HOMELAND SECURITY DHS,2,0.007
UNIVERSIDAD SANTO TOMAS,2,0.007
UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,2,0.007
UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO PETROLINA PE BRAZIL,2,0.007
UNIVERSITAT POLITECNICA DE VALENCIA,2,0.007
UNIVERSITY AT BUFFALO,2,0.007
UNIVERSITY CANCER RESEARCH FUND OF NORTH CAROLINA,2,0.007
UNIVERSITY COLLEGE LONDON,2,0.007
UNIVERSITY MEDICAL CENTRE GRONINGEN,2,0.007
UNIVERSITY OF ALABAMA AT BIRMINGHAM DIABETES RESEARCH CENTER,2,0.007
UNIVERSITY OF ALABAMA AT BIRMINGHAM SANOFI,2,0.007
UNIVERSITY OF ALBERTA DISSERTATION FELLOWSHIP,2,0.007
UNIVERSITY OF ARIZONA,2,0.007
UNIVERSITY OF BERN,2,0.007
UNIVERSITY OF CALIFORNIA INSTITUTE FOR MEXICO,2,0.007
UNIVERSITY OF CALIFORNIA INSTITUTE FOR MEXICO AND THE US,2,0.007
UNIVERSITY OF CALIFORNIA SAN FRANCISCO HEALTH DISPARITIES GROUP,2,0.007
UNIVERSITY OF CALIFORNIA SAN FRANCISCO HEALTH DISPARITIES WORKING GROUP,2,0.007
UNIVERSITY OF COPENHAGEN,2,0.007
UNIVERSITY OF COPENHAGEN S EXCELLENCE PROGRAMME FOR INTERDISCIPLINARY RESEARCH,2,0.007
UNIVERSITY OF COSTA RICA,2,0.007
UNIVERSITY OF EAST ANGLIA,2,0.007
UNIVERSITY OF EASTERN FINLAND,2,0.007
UNIVERSITY OF FORT HARE,2,0.007
UNIVERSITY OF GRANADA PLAN PROPIO DE INVESTIGACION 2018 PROGRAMA CONTRATOS PUENTE,2,0.007
UNIVERSITY OF ILLINOIS AT CHICAGO,2,0.007
UNIVERSITY OF ILLINOIS AT CHICAGO CENTER FOR CLINICAL AND TRANSLATIONAL SCIENCE FROM THE NATIONAL CENTER FOR RESEARCH RESOURCES,2,0.007
UNIVERSITY OF ILLINOIS AT CHICAGO CLINICAL RESEARCH CENTER,2,0.007
UNIVERSITY OF LAUSANNE,2,0.007
UNIVERSITY OF LEICESTER CLINICAL TRIALS UNIT,2,0.007
UNIVERSITY OF MACAU,2,0.007
UNIVERSITY OF MANCHESTER RESEARCH INFRASTRUCTURE FUND,2,0.007
UNIVERSITY OF MANITOBA FACULTY OF MEDICINE FACULTY OF GRADUATE STUDIES AND DEPARTMENT OF COMMUNITY HEALTH SCIENCES,2,0.007
UNIVERSITY OF MASSACHUSETTS BOSTON,2,0.007
UNIVERSITY OF MICHIGAN CENTER FOR INTEGRATIVE APPROACHES TO HEALTH DISPARITIES,2,0.007
UNIVERSITY OF MICHIGAN OFFICE OF RESEARCH,2,0.007
UNIVERSITY OF MINNESOTA FIELD CENTER AND DIET READING CENTER YEAR 20 EXAM,2,0.007
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER FROM THE NATIONAL INSTITUTE FOR MINORITY HEALTH AND HEALTH DISPARITIES NIMHD,2,0.007
UNIVERSITY OF NEBRASKA MINORITY HEALTH DISPARITIES AWARD,2,0.007
UNIVERSITY OF NEW MEXICO CLINICAL TRANSLATIONAL SCIENCE CENTER,2,0.007
UNIVERSITY OF NEW MEXICO CLINICAL TRANSLATIONAL SCIENCE CENTER SCHOLAR AWARD,2,0.007
UNIVERSITY OF NEW SOUTH WALES,2,0.007
UNIVERSITY OF NEWCASTLE EARLY CAREER RESEARCHER GRANT,2,0.007
UNIVERSITY OF NEWCASTLE FACULTY OF HEALTH AND MEDICINE GLADYS M BRAWN CAREER DEVELOPMENT FELLOWSHIP,2,0.007
UNIVERSITY OF NEWCASTLE NEW STAFF GRANT,2,0.007
UNIVERSITY OF OTAGO RESEARCH GRANT,2,0.007
UNIVERSITY OF OULU,2,0.007
UNIVERSITY OF PADOVA,2,0.007
UNIVERSITY OF PARIS 13,2,0.007
UNIVERSITY OF PENNSYLVANIA,2,0.007
UNIVERSITY OF PENNSYLVANIA CTSA,2,0.007
UNIVERSITY OF PENNSYLVANIA PERELMAN SCHOOL OF MEDICINE,2,0.007
UNIVERSITY OF PITTSBURGH CLAUDE D PEPPER OLDER AMERICANS INDEPENDENCE CENTER,2,0.007
UNIVERSITY OF PITTSBURGH SMALL MOLECULE BIOMARKER CORE NIH,2,0.007
UNIVERSITY OF SOUTHERN SANTA CATARINA UNESC,2,0.007
UNIVERSITY OF STIRLING,2,0.007
UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,2,0.007
UNIVERSITY OF TEXAS HOUSTON,2,0.007
UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER DUNCAN FAMILY INSTITUTE FOR CANCER PREVENTION AND RISK ASSESSMENT,2,0.007
UNIVERSITY OF TEXAS POPULATION RESEARCH CENTER,2,0.007
